Row, Cumulative Sum
762, 187425
763, 186660
764, 184365
765, 170850
766, 161160
767, 197625
768, 205275
769, 196095
770, 172635
771, 160395
772, 160650
773, 158610
774, 147390
775, 132855
776, 125460
777, 130560
778, 149685
779, 161670
780, 168045
781, 179265
782, 202980
783, 219810
784, 227715
785, 231030
786, 236895
787, 238425
788, 237915
789, 237405
790, 237405
791, 236130
792, 234855
793, 234345
794, 234855
795, 235365
796, 233835
797, 232305
798, 230520
799, 228480
800, 226695
801, 224400
802, 224400
803, 220575
804, 220320
805, 218025
806, 213945
807, 203490
808, 201705
809, 201705
810, 199665
811, 183600
812, 163455
813, 149940
814, 151470
815, 148155
816, 134895
817, 123420
818, 119850
819, 131580
820, 141780
821, 175695
822, 204000
823, 228735
824, 234855
825, 236895
826, 237660
827, 237405
828, 237150
829, 235875
830, 234600
831, 233580
832, 232815
833, 232305
834, 232050
835, 231795
836, 228990
837, 228990
838, 227970
839, 228735
840, 225420
841, 218790
842, 213435
843, 216750
844, 209610
845, 204255
846, 196350
847, 196605
848, 203235
849, 208335
850, 207570
851, 201960
852, 197370
853, 187170
854, 174420
855, 162945
856, 152745
857, 145860
858, 136935
859, 125205
860, 120360
861, 123420
862, 130050
863, 152235
864, 177225
865, 208335
866, 228990
867, 236895
868, 236640
869, 235110
870, 235110
871, 234855
872, 234345
873, 232305
874, 231285
875, 232305
876, 231795
877, 229500
878, 228990
879, 228990
880, 230265
881, 229500
882, 225165
883, 223125
884, 218025
885, 215475
886, 210120
887, 205530
888, 195075
889, 191760
890, 203745
891, 211140
892, 210885
893, 209100
894, 200685
895, 190230
896, 180540
897, 169320
898, 162690
899, 156060
900, 137190
901, 128010
902, 119595
903, 112965
904, 112965
905, 128520
906, 170595
907, 196350
908, 209100
909, 221340
910, 232815
911, 235365
912, 235110
913, 235620
914, 235875
915, 236130
916, 235620
917, 235875
918, 236640
919, 237150
920, 237915
921, 233580
922, 228480
923, 220320
924, 216240
925, 216495
926, 209355
927, 186150
928, 176460
929, 170085
930, 179520
931, 186915
932, 198135
933, 200685
934, 202215
935, 196095
936, 182580
937, 173655
938, 169575
939, 161670
940, 149685
941, 140760
942, 130050
943, 123420
944, 119340
945, 127500
946, 151980
947, 196860
948, 211395
949, 217005
950, 220830
951, 224910
952, 229500
953, 233325
954, 237150
955, 238425
956, 238425
957, 238680
958, 236895
959, 235365
960, 233325
961, 231540
962, 229755
963, 228990
964, 227205
965, 224910
966, 220065
967, 214965
968, 204255
969, 187935
970, 171360
971, 182325
972, 197880
973, 204765
974, 208335
975, 213690
976, 205530
977, 193800
978, 182325
979, 168555
980, 149685
981, 141525
982, 136680
983, 135150
984, 129030
985, 124695
986, 128775
987, 136170
988, 154020
989, 178500
990, 206040
991, 224910
992, 226695
993, 224655
994, 221595
995, 216495
996, 211650
997, 207570
998, 209355
999, 210375
1000, 206295
1001, 199410
1002, 189720
1003, 183090
1004, 176715
1005, 174165
1006, 175185
1007, 182835
1008, 183345
1009, 181815
1010, 184875
1011, 194820
1012, 202215
1013, 201960
1014, 196860
1015, 189210
1016, 183600
1017, 176715
1018, 167280
1019, 158355
1020, 149430
1021, 143820
1022, 140760
1023, 142545
1024, 141270
1025, 147390
1026, 155550
1027, 171615
1028, 179520
1029, 189720
1030, 198900
1031, 208590
1032, 218280
1033, 224655
1034, 233580
1035, 229245
1036, 225675
1037, 222870
1038, 217770
1039, 215475
1040, 214200
1041, 213435
1042, 213435
1043, 213435
1044, 210630
1045, 208080
1046, 207570
1047, 209100
1048, 206550
1049, 201195
1050, 195585
1051, 188955
1052, 193290
1053, 192525
1054, 191760
1055, 191250
1056, 189210
1057, 185130
1058, 181050
1059, 171360
1060, 158610
1061, 159375
1062, 157590
1063, 154530
1064, 145605
1065, 149685
1066, 167535
1067, 181050
1068, 194820
1069, 210630
1070, 223380
1071, 233580
1072, 236895
1073, 236895
1074, 237405
1075, 238170
1076, 237405
1077, 236895
1078, 236895
1079, 237150
1080, 236640
1081, 236640
1082, 235110
1083, 233835
1084, 228990
1085, 224400
1086, 218535
1087, 220320
1088, 223380
1089, 219810
1090, 217005
1091, 214710
1092, 211650
1093, 207060
1094, 198900
1095, 185640
1096, 168300
1097, 152490
1098, 143055
1099, 144075
1100, 145860
1101, 145860
1102, 144075
1103, 144585
1104, 149430
1105, 156060
1106, 161925
1107, 168555
1108, 174675
